id,title,url,description,adress,rating,created,updated
,100X Imaging India Pvt Ltd,http://www.100ximaging.com,Software and Hardware for Biological Microscopy,,,NOW(),NOW()
,Abexome Biosciences Private Ltd,http://www.abexome.com,Development of Novel Immunology Reagents,,,NOW(),NOW()
,ABL Biotechnologies Ltd,http://www.ablbiotechnologies.com,"Conducting research on polysaccharides, essential fatty acids, natural pigments, tracers and tags. Working on anti-bacterials, anti-virals, enzymes, biomolecular materials, bio-monitors and diagnostics, biopesticides, bioremediation and aquaculture.",,,NOW(),NOW()
,ABLE ( Association of Biotechnology Led Enterprises),http://www.ableindia.org,"Enabling strategic alliances between researchers, the Government and the global biotech industry, partnering with the Government in its biotech endeavours, forging stronger links between academia and industry, facilitating proactive collaborations and partnerships inducting bodies that represent Indian industry as well as other national and international organizations as Affiliate Members, initiating dialogue through workshops, conferences and other forums between society, entrepreneurs and scientists, presenting and disseminating information regarding the industry to policymakers, investors, academicians and the media.",,,NOW(),NOW()
,Abott India,http://www.abbott.co.in/,"Diversified health care company devoted to the discovery, development, manufacture and marketing of pharmaceutical, diagnostic, nutritional and hospital products.
Healthcare solutions through its  business units: Primary Care, Speciality Care and Hospital Care.",,,NOW(),NOW()
,ABS – NOVACELL Bio Pharmaceuticals INDIA PVT LTD,http://www.absnovacell.com,"Novel Vaccines (Viral, Bacterial). 
• Innovative Biotherapeutics & Biosimilars / Follow-On-Biologics. 
• Biological Contract Manufacturing (Bio-CMO). 
• Diagnostics",,,NOW(),NOW()
,Accelrys Inc.,http://www.accelrys.com,"Manufacture; Provides software solutions to the research fraternity involved in pharma, biopharma, biotech, bioinformatics, chemicals & materials research, healthcare products and petroleum products etc.",,,NOW(),NOW()
,Accurex Biomedical Pvt Ltd,"http://www.accurex.org
","Manufacture,Marketing; Manufacturing of in-vitro diagnostic products; manufacturing and marketing of biochemistry reagents and urine analysis test strips.",,,NOW(),NOW()
,Accutest Research Laboratories (I) Pvt Ltd,http://www.accutestindia.com,"R & D; Provides regulatory support for drug substance characterization (UV/VIS, FTIR, NMR, Mass, CHN, XRD, DSC, particle size), impurity profiling, technomarketing study, identification of impurities & residual solvents; stability studies include drug stability protocol designing etc.; bioavailability and bioequivalence studies; statistical services on clinical trials in therapeutics; pharmaceutical analysis, metabolite synthesis and impurity synthesis studies.",,,NOW(),NOW()
,Ace Instruments & Services Pvt. Ltd,http://www.aceinstruments.com,"Marketing; Marketing of freeze dryers, clean room projects, biological containers,biosafety cabinets, programmable freezers, high speed ultra filtered air showers.",,,NOW(),NOW()
,Actimus Biosciences Pvt Ltd,http://www.actimusbio.com,"R & D; Bioequivalence/bioavailability studies in healthy human volunteers, clinical services and pharmacokinetic analysis.",,,NOW(),NOW()
,Actis Biologics Pvt. Ltd.,http://www.actisbiologics.com,"R & D; A therapeutics company focusing on cancer, cardiovascular and genetic diseases.",,,NOW(),NOW()
,Acton Biotech (India) Pvt. Ltd,http://www.actonbiotech.com,diagnostics laboratory dedicated to patient genetics; genetics testing to cancer patients; ,,,NOW(),NOW()
,Adam Fabriwerk Pvt Ltd,http://www.adamfabriwerk.com,"Manufacture; Customer service in the biopharmaceutical, pharmaceutical, cosmetic & allied industries.",,,NOW(),NOW()
,Advanced Bio-Photonics,NA,R & D; Production of high resolution Infrared cameras ( Bio-Scan) for early diagnosis of some form of cancers and other vascular related abnormalities.,,,NOW(),NOW()
,Advanced Computer Systems,http://www.acsinformatics.com,"Regulatory genomics, vaccine designing, drug designing. R & D,Consultancy; Development of bioinformatics software, data mining, data warehousing, regulatory genomics, immunoinformatics and pharmacoinformatics. The core competencies include  bioinformatics tools development, corporate training, contract research, consultancy, short term certificate courses,students' project training.",,,NOW(),NOW()
,Advanced Enzyme Technologies Ltd,http://www.enzymeindia.com,"Development of biopharmaceuticals for human & veterinary use.; Manufacture,R & D,Marketing; Manufacturing of enzymes for industries like bakery, brewery, fruit juice processing, starch, tea and textile processing.",,,NOW(),NOW()
,Advanced Microdevices Pvt Ltd,http://www.mdimembrane.com,To develop  new products & applications through indigenous technologies..Manufacture; Separation and filtration for use in biotechnology process and research.,,,NOW(),NOW()
,Advanta India Ltd,http://www.advantaindia.com,"Development of  products of superior technology.  Conventional breeding and biotech tools for farmers to enable increase in agricultural productivity and rural prosperity.Manufacture,R & D,Marketing; Marker assisted selections in hybrid rice to develop insect resistance hybrids (collaborative research); double haploid in rapeseed-mustard, rice, maize and sun flower to fasttrack conventional plant breeding process (inhouse research).",,,NOW(),NOW()
,"Advinus Therapeutics Ltd. 
",http://www.advinus.com,"In house and collaborative research and contract services.R & D, Marketing; An R&D driven company that is focused on the new drug discovery and development of pharmaceutical and agrochemical products.",,,NOW(),NOW()
,AG Bioteck Laboratories (India) Ltd,http://www.agbiotek.com,"Development of  tissue culture protocols for fruits, medicinal and forestry plants, new crops and their multiplication. R & D,Manufacture; Production of tissue culture plants like banana, vanilla, flower plants, medicinal plants like neem, turmeric and ginger.",,,NOW(),NOW()
,"Agappe Diagnostics Pvt Ltd

 ",http://www.agappe.com,"Working on biochemistry, serology, latex and immunoturbidimetry reagents. Manufacture; Manufacturing of  in vitro diagnostic reagents, biochemistry and serology products.",,,NOW(),NOW()
,Agastya Biopharm India Ltd,http://www.agastyabiopharm.com,involved in the manufacture of basic drugs formulated from plant sources. The company draws its strength from its exceptional expertise in the area of herbal plants and formulations. ,,,NOW(),NOW()
,Agharkar Research Institute,http://www.aripune.org,Research & Development laboratories,,,NOW(),NOW()
,Agilent Technologies India Pvt Ltd,http://www.agilent.com,"Marketing; Marketing of freeze dryers, clean room projects, biological containers,biosafety cabinets, programmable freezers, high speed ultra filtered air showers.",,,NOW(),NOW()
,Agro Biotech Research Centre Ltd,http://www.abtecbiofert.com,"Liquid formulations of biofertilizers, bio control agents & biopesticides.",,,NOW(),NOW()
,Agro Machinery & Consultancy (p) Ltd.,http://http://www.amacon.in,AMACON has developed a breadth of technologies especially in the field of Pollution Control and Custom Made equipments,,,NOW(),NOW()
,Ajanta Pharma Limited,http://www.ajantapharma.com,"Development of new formulations and novel drug delivery system.Manufacture, R & D, Marketing; An emerging, global pharmaceutical company with capabilities in the areas of product research, manufacturing & marketing.",,,NOW(),NOW()
,Ajay Biotech India Ltd,http://www.ajaybio.in,"R & D, Manufacture, Marketing; Manufacturing, marketing and research on biofertilizers, biopesticides, herbal extracts and organic farming inputs. Refinement of formulation of phosphate solubilising microorganisms based on bentonite granules. Development of neem oil based 1500 PPM azadirachtin formulation. Isolation and formulation of Trichoderma viridae based soil fungicide. Extraction of biopesticidal ingredient  of various herbal extracts and testing for fungicidal properties and acaricidal properties. Scaling up and formulation of Bacillus thuringiensis (Bt) var. kurstaki and Bt. var israelensis.  - Extraction of biopesticidal ingredient of various berbal extract and testing for fungicidal properties and acaricidal properties.  Scaling up and formulation of Bacillus thuringiensis var. kurstaki and Bacillus thuringiensis  var. israelensis.",,,NOW(),NOW()
,Ajeet Seeds Ltd ,http://www.ajeetseed.co.in,"Manufacture,R & D,Marketing; Largest producer & processor of hybrid cotton seeds in India.. Have an original, well-documented bank of more than one lakh germplasm of fiber crops, cereals, oil-seeds & vegetables. Research on various aspects of plant breeding and testing is carried in different crops. The company has generated colour cotton seeds, tissue culture and gene transfer technology.",,,NOW(),NOW()
,Alcon Biosciences Private Limited,     ,"Low molecular weight Polysaccharide, Peptacan, lanthanum carbonate",,,NOW(),NOW()
,Alembic Ltd,http://www.alembic-india.com,"Manufacture, R & D, Marketing; Manufacturing and marketing of APIs, bulk pharma chemicals, formulations, herbal nutraceuticals and veterinary products. Fermentation technology, strain improvement, industrial enzymes, non-infringing process development for API & intermediates, development of innovative formulations, NDDS.",,,NOW(),NOW()
,Alfa Laval India Ltd,http://www.alfalaval.com,Manufacture,,,NOW(),NOW()
,Alkali Metals Ltd.,http://www.alkalimetals.com,"Manufactures variety of products ranging from Alkali Metal Derivatives, Amino Pyridines, Tetrazoles, Cyclic compounds and Fine chemicals. 
We also manufacture oleoresins and concentrated extracts from a variety of natural products such as Chilli, Turmeric, Tobacco, bulk plant extracts, finished dosage forms from various plant sources.  Our finished dosage forms include dietary supplements, cosmetics & topicals. 
Ours is an ISO 9001 and 14001 certified company following cGMP Standards. 
",,,NOW(),NOW()
,All India Biotech Association,http://www.aibaonline.com,"Consultancy; A non profit Society providing common apex forum at national level to represent the interest of all those engaged in various aspects of biotechnology. It organizes workshops, National and International conferences, meetings and facilitates collaboration between industry and academia. It also plays an active role in the interaction between industry and regulatory authorities.The Association has instituted two Awards- one for an individual scientist and the other for an industrial unit.",,,NOW(),NOW()
,Allele Life Sciences (P) Ltd.,http://www.allelelifesciences.org,"R&D in Biotechnolohy , IPR Services                                   
",,,NOW(),NOW()
,Allied Univet Marketers Pvt. Ltd,,"Direct Marketing, Distributor (state,    
Export",,,NOW(),NOW()
,Amar Immunodiagnostics Pvt Ltd,http://www.amarimmunodiagnostics.com,Development of ELISA and chemiluminescence based immunoassay kits for healthcare. R & D; Marketing and manufacture of immunoassay kits and products for GMO testing.,,,NOW(),NOW()
,Ambalal Sarabhai Enterprise,NA,"Manufacture, Marketing; A healthcare company developing formulations covering a wide range of therapeutic spectrum together with manufacturing facilities for bulk drugs which are both fermentation based as well as synthetic.",,,NOW(),NOW()
,Americos Industries Inc.,http://www.kenencoregroup.com,"Optimization and formulation of  recipe for enzymatic textile process; novel effect on denim through enzymatic route; manufacturing of  cellulase which can work at ambient temperature; bio-scouring of cotton substrate. Manufacture,R & D,Marketing; Evaluation of textile enzymes like amylase, cellulase and pectinase & its application on textiles substrate.",,,NOW(),NOW()
,Amit Biotech,http://www.amitbiotech.com,"Manufacture; Manufacturing of biofertilizers and  biopesticides for agriculture, pisciculture and aquaculture.Recovery from waste oils and solvents on contractual basis.",,,NOW(),NOW()
,Amkette Analytics Pvt Ltd,http://www.amketteonline.com,Marketing; Offers products and services in analytical and separation sciences through its focused SBUs-analytical instruments group and separation science group. It is an exclusive distributor of Shimadzu balances in India.,,,NOW(),NOW()
,Amrita Therapeutics Limited,http://www.amritatherapeutics.com,"Yes, research and development of novel therapies to treat and prevent cancers, HIV/AIDS and other viral and parasitic pathogens",,,NOW(),NOW()
,Anand Brothers & AB Diachem Systems Pvt Ltd,http://www.anandbros.com,Imports and distribution of Diagnostic / Research kits & equipments in India,,,NOW(),NOW()
,ANDEL Equipment Pvt Ltd,http://www.andelindia.com,"Manufacture; Manufacturing and marketing of biotechnology products in biopharma, agri biotech, R&D sector and colleges. Peltier effect technology for water cooling/chilling applications, hexa bioreactors for multiple fermentations at a time on single platform.",,,NOW(),NOW()
,"ANIL Group

",http://www.anil.co.in,"Manufacture,R & D; Manufacturing of gluconates and enzymes. R&D activities primarily concentrate on monitoring and improving product quality, enhancing process efficiencies, new products and applications, enhanced technical service to customers.",,,NOW(),NOW()
,Anil Products Ltd. ,http://www.anilproducts.com,"Producing a varied range of starches from basic Maize Starch to Modified and Specialty Starches and related down stream products like Dextrose Monohydrate, Anhydrous Dextrose, Corn Syrup, Sorbitol, amongst many others. 
",,,NOW(),NOW()
,Animal Biotech Bangalore Pvt Ltd,NA,"Development of Products for Animal Health areas such as Probiotic Enzyme and Proteinated Trace Mineral Supplement. Diagnostics, Immuno Chemicals, and Vaccines, Microbial Starter Cultures. Commercial Production of Diagnostics Probiotics, Enzymes, Trace Mineral Proteinates for Poultry Cattle and Aquaculture, Offering Consultancy in Biopharmaceuticals, Vaccines and Food Related Biotechnology.",,,NOW(),NOW()
,Ankur Seeds Pvt Ltd,http://www.ankurseeds.com,"Manufacture, R & D, Marketing; Research, processing and development of hybrid and Bt seeds. To  produce good quality, high yielding and economical hybrids and varieties for the farmer's need.",,,NOW(),NOW()
,Anthem Bio-Sciences Pvt.Ltd,http://www.anthembio.com,"Bangalore based DRAP (Discovery Research Alliance Partner), dedicated to supporting research efforts in the discovery of new compounds by pharmaceutical, biotechnology, speciality chemicals, agriculture chemicals and material science companies.


",,,NOW(),NOW()
,Apothecaries Pvt Ltd,http://www.apothecaries.net,"Clinical pharmacology, Project Management services, Data Management, Medical writing, Regulatory affairs.",,,NOW(),NOW()
,Apticraft Systems (P) Ltd,http://www.apticraft.com,"R & D; A company offering biological domain knowledge; software development expertise and   services to clients catering to academic, research institutions, govt.agencies, pharmaceutical and biotechnology companies. Development of software tools for life sciences research.",,,NOW(),NOW()
,Laurus Labs Pvt. Ltd,http://www.aptuitlaurus.com,"Drug product development, analytical & consultancy services, medicinal chemistry services etc",,,NOW(),NOW()
